Id,Dataset,Classifier,Measure,Type,Mean,Std
7,ecoli,RF,Accuracy,Normalized,0.9639909860191318,0.030238266842345065
6,ecoli,LR,G-mean,Standard,0.6303018850236773,0.26993959175705334
7,ecoli,LR,G-mean,Normalized,0.7302198307579101,0.2881853869038565
6,ecoli,LR,Kappa,Standard,0.48194685982478086,0.27356242189337054
7,ecoli,LR,Kappa,Normalized,0.8742365710080943,0.17796750610714573
6,ecoli,LR,Bal. acc.,Standard,0.7265591397849462,0.13565633757374493
7,ecoli,LR,Bal. acc.,Normalized,0.8110255702722589,0.15693963325745006
6,ecoli,LR,Recall,Standard,0.48666666666666664,0.26995884460002006
7,ecoli,LR,Recall,Normalized,0.49,0.2640356317143859
6,ecoli,LR,F1-score,Standard,0.5216479076479076,0.2635055969965641
7,ecoli,LR,F1-score,Normalized,0.8170768947755701,0.30011779956321666
6,ecoli,LR,MCC,Standard,0.4974143605099696,0.27876173933510434
7,ecoli,LR,MCC,Normalized,0.8692577262693156,0.1700846279962154
6,ecoli,LR,Precision,Standard,0.6181666666666666,0.3262366416757659
7,ecoli,LR,Precision,Normalized,0.8483278145695362,0.3061818159275569
6,ecoli,LR,Accuracy,Standard,0.9170687547746371,0.040663753034454506
7,ecoli,LR,Accuracy,Normalized,0.9551738410596028,0.03548623859713189
8,new-thyroid,kNN,G-mean,Standard,0.9106439345377991,0.11819935931215517
9,new-thyroid,kNN,G-mean,Normalized,0.9596867283950616,0.07302504635739661
8,new-thyroid,kNN,Kappa,Standard,0.8770886101864898,0.1563275988397861
9,new-thyroid,kNN,Kappa,Normalized,0.9872901234567901,0.025502490083465317
8,new-thyroid,kNN,Bal. acc.,Standard,0.9212173202614379,0.09955589200428797
9,new-thyroid,kNN,Bal. acc.,Normalized,0.9661944444444444,0.05735074040109844
8,new-thyroid,kNN,Recall,Standard,0.8475,0.19827555180718687
9,new-thyroid,kNN,Recall,Normalized,0.8475,0.19827555180718687
